IMO/LR/IHS No.,MMSI,Name of Ship,Built,Deadweight,Length,GT,Total HP Main Eng
9674543,229989000,CMA CGM RHONE,2015-02,"113,800",299.950,"95,263","64,486"
9634658,229993000,SANTA LOUKIA,2015-01,"21,508",171.930,"16,889","17,784"
9626314,232005179,RESOLUTE BAY,2012-04,"36,798",186.400,"22,664","10,686"
8511275,232217000,OCEAN OBSERVER,1987-03,"1,598",80.420,"2,820","5,328"
9070474,235007790,ASIAN GLORY,1994-11,"13,363",184.100,"44,818","14,096"
9300386,235009240,EVER SHINE,2005-09,"78,693",299.990,"76,185","74,642"
9300398,235009850,EVER SIGMA,2005-11,"78,636",299.990,"75,246","74,642"
9300403,235010450,EVER SMART,2006-03,"78,716",299.990,"75,246","74,699"
9300415,235010710,EVER SMILE,2006-06,"78,796",299.990,"75,246","74,699"
9289910,235011050,MORNING MIDAS,2006-07,"12,249",182.800,"46,800","19,334"
9384942,235058697,ZENITH LEADER,2007-10,"22,602",199.940,"62,080","21,128"
9387281,235060303,ENERGY CENTAUR,2008-06,"74,995",228.160,"42,416","16,642"
9221097,235067987,COSCO SHANGHAI,2001-07,"69,192",280.000,"65,531","58,599"
9221085,235068051,COSCO HAMBURG,2001-10,"69,193",280.000,"65,531","58,604"
9453999,235076283,PARAMOUNT HYDRA,2011-01,"113,968",249.900,"62,851","19,415"
9463011,235082896,EDISON,2011-01,"141,448",366.000,"141,649","98,218"
9463023,235084298,ERVING,2011-03,"141,377",366.000,"141,649","98,218"
9493365,235086166,NOBLE ACE,2011-06,"18,946",199.970,"59,515","18,028"
8645806,235093018,CABLE ENTERPRISE,2001-10,"10,543",124.320,"9,017","11,988"
9595450,235093618,EVER LASTING,2012-08,"104,399",334.800,"98,882","76,233"
9595462,235093619,EVER LEADING,2012-09,"104,409",334.800,"98,882","76,233"
1011915,235093789,MY SECRET,2012-06,0,46.700,491,"2,720"
9604108,235098885,EVER LEARNED,2013-06,"104,286",334.800,"98,882","76,233"
9698305,235102465,CAPE CROSS,2014-08,"63,155",199.930,"35,872","11,285"
9604146,235102677,EVER LENIENT,2014-02,"104,103",334.800,"99,995","76,233"
9604160,235102678,EVER LIBERAL,2014-05,"104,103",334.800,"99,995","76,233"
9629081,235102681,EVER LOADING,2014-07,"104,300",334.800,"99,946","76,233"
9713167,235110509,BERGE HAKODATE,2015-04,"34,534",179.970,"21,530","7,736"
9773844,235117234,MOUNTPARK,2016-04,"37,839",183.000,"23,858","9,103"
9241310,235335000,EVER EAGLE,2001-10,"75,898",300.000,"76,067","66,124"
9241308,235414000,EVER ENVOY,2002-03,"75,898",300.000,"76,067","66,124"
9241322,235479000,EVER EXCEL,2002-06,"75,898",300.000,"76,067","66,077"
9241281,235554000,EVER ELITE,2002-10,"75,898",300.000,"76,067","66,119"
9241293,235603000,EVER ETHIC,2003-01,"75,898",300.000,"76,067","66,124"
9275658,235849000,ENERGY COMMANDER,2004-04,"70,681",228.000,"42,172","18,436"
9498303,236607000,LAST TYCOON,2012-01,"34,569",179.930,"22,549","8,810"
9707819,238005000,VUKOVAR,2015-04,"49,990",183.120,"29,785","10,999"
9440514,238009000,PAG,2015-12,"49,990",183.068,"29,735","10,197"
9519638,238293000,SVETI DUJAM,2010-09,"52,113",189.990,"30,092","11,693"
9489209,238301000,CHAMPION ISTRA,2012-08,"52,610",195.034,"30,638","13,120"
9281152,240125000,ASTRO POLARIS,2004-03,"159,073",274.000,"80,620","25,320"
9280885,240127000,ASTRO PHOENIX,2004-01,"159,055",274.070,"80,620","25,320"
9282871,240272000,LORENTZOS,2005-05,"53,688",189.990,"31,198","12,889"
9309007,240444000,DESPINA,2006-03,"72,247",228.600,"40,698","15,363"
9304605,240575000,MINERVA SYMPHONY,2006-12,"159,450",276.880,"83,722","25,370"
9345441,240657000,AEGEAN NOBILITY,2007-08,"115,814",248.960,"61,473","18,436"
9306574,240681000,POLYAIGOS,2005-11,"69,509",228.000,"40,038","13,899"
9300283,240748000,DESERT MELODY,2006-01,"53,800",189.990,"31,091","12,889"
9402926,240959000,MARAN POSEIDON,2010-01,"158,267",274.000,"79,890","25,370"
9429297,240995000,NICOLAOS,2010-01,"164,758",274.190,"84,735","25,370"
9531480,241080000,CAPTAIN MICHAEL,2012-01,"157,648",274.827,"81,427","25,370"
9667928,241251000,EVINOS,2013-04,"49,997",183.000,"29,940","10,292"
9541849,241277000,IONIC,2013-09,"58,468",196.000,"34,456","13,542"
9644225,241281000,HAPPY LADY,2013-09,"51,390",183.000,"30,201","12,114"
9277735,241305000,KEROS,2004-02,"74,999",228.190,"42,432","18,420"
9484924,241311000,EXPRESS BERLIN,2011-03,"122,962",349.000,"113,973","93,323"
9475686,241312000,MAERSK ENPING,2012-05,"141,458",366.550,"141,770","98,218"
9475698,241313000,MAERSK EXETER,2012-06,"141,356",366.000,"140,979","98,218"
9308510,241459000,COSCO HELLAS,2006-07,"107,482",350.550,"109,149","101,644"
9798868,241528000,NICOPOLIS,2017-08,"73,879",228.000,"42,983","14,820"
9188037,244370000,AMSTERDAM,2000-09,"7,327",237.830,"62,735","75,072"
9671462,244790607,EEMSLIFT NELLI,2013-12,"4,200",111.600,"5,460","5,438"
9139309,245394000,HAPPY ROVER,1997-08,"12,950",138.040,"10,990","11,930"
9466300,246519000,ALBANYBORG,2010-09,"17,294",143.000,"11,885","10,197"
9378450,246648000,NIEUW AMSTERDAM,2010-06,"8,754",285.220,"86,273","87,014"
9546459,246887000,THAMESBORG,2013-01,"21,359",172.280,"14,695","10,197"
9196979,247009600,ITAL USODIMARE,2000-11,"63,216",285.000,"68,888","66,124"
9196981,247012800,ITAL UNICA,2001-03,"63,216",285.000,"68,888","66,124"
9196993,247012900,ITAL UNIVERSO,2001-05,"63,216",285.000,"68,888","66,124"
9322487,247190800,ITAL LIRICA,2007-04,"68,138",294.050,"54,152","55,920"
9398905,247257900,COSTA LUMINOSA,2009-04,"7,600",294.000,"92,720","87,014"
9275763,247273200,FREIGHT MARGIE,2004-06,"70,313",228.000,"42,307","15,569"
9187796,247645000,COSTA ATLANTICA,2000-06,"8,600",292.560,"85,861","84,798"
9293466,248166000,CSL SOPHIE,2005-08,"65,006",294.120,"54,519","62,079"
9505039,248223000,TIGER,2011-06,"31,143",227.800,"74,255","25,887"
9505053,248225000,TITANIA,2011-12,"31,108",230.800,"74,255","25,887"
9505065,248264000,TUGELA,2011-07,"28,837",229.990,"72,295","24,582"
9701061,248349000,OUTRIDER,2016-08,"33,190",179.930,"21,265","7,668"
9452505,248435000,SEAGULL,2010-05,"58,609",196.000,"34,374","13,542"
9363065,249029000,PETANI,2008-02,"75,228",225.000,"40,170","12,226"
9189421,249048000,CELEBRITY INFINITY,2001-02,"11,778",294.000,"90,940","96,860"
9072446,249054000,MARELLA EXPLORER 2,1995-11,"7,260",246.500,"72,458","39,768"
9440447,249605000,OC AGGNES,2010-01,"29,827",175.000,"19,538","10,876"
9465710,249620000,STRIGGLA,2009-01,"75,196",225.000,"40,298","12,223"
9319765,249757000,TORTUGAS,2006-12,"19,628",199.990,"61,321","16,845"
9319753,249758000,TOMBARRA,2006-09,"19,628",199.990,"61,321","16,845"
9399923,249779000,NAVE EQUATOR,2009-09,"49,999",183.000,"30,100","13,542"
9727613,249783000,CAPE KORTIA,2017-03,"134,869",330.040,"112,836","57,525"
9282742,249806000,OKTEM AKSOY,2003-11,"52,441",189.990,"30,058","10,599"
9399193,249819000,CMA CGM LIBRA,2009-12,"131,235",363.610,"131,332","98,218"
9399208,249888000,CMA CGM LEO,2010-07,"131,236",363.610,"131,332","98,218"
9398254,249966000,ANTON SCHULTE,2009-09,"90,443",304.170,"75,582","77,633"
9313474,249980000,PTI AMAZON,2007-03,"51,218",183.063,"30,068","11,665"
9585883,255804740,MONTESTENA,2012-03,"159,372",274.230,"81,187","21,373"
9535151,255805590,MOL GARLAND,2011-06,"71,409",275.070,"59,307","61,046"
9305477,255805669,E. R. TIANSHAN,2006-04,"101,532",334.070,"91,649","93,323"
9693329,255805688,RICARDA,2015-10,"38,600",179.950,"25,546","8,294"
9710438,255805864,MSC CHANNE,2015-12,"109,495",299.970,"95,403","64,486"
9735218,255805866,MSC ELMA,2016-09,"110,103",299.950,"96,816","64,717"
9293753,255805889,CONTI CORTESIA,2005-04,"100,863",334.000,"90,449","93,323"
9293791,255805913,CONTI CHIVALRY,2006-01,"100,902",334.000,"90,449","89,570"
9293806,255805914,CONTI CONTESSA,2006-03,"101,007",334.000,"90,449","89,570"
9720512,255805929,MSC MICHELA,2016-09,"110,531",299.870,"94,469","74,642"
9720524,255805930,MSC CLEA,2016-11,"110,593",299.840,"94,469","74,642"
9293765,255805943,CONTI CHAMPION,2005-05,"100,948",333.990,"90,449","89,570"
9293789,255805960,CONTI COURAGE,2005-12,"100,936",333.990,"90,449","89,570"
9778105,255806028,MSC SHREYA B,2017-09,"126,368",330.030,"113,112","57,525"
9250995,256058000,DIMITRA C,2002-06,"74,453",293.870,"74,071","82,106"
9674567,256213000,CMA CGM THAMES,2015-06,"113,800",299.950,"95,263","64,486"
9436355,256300000,CMA CGM TANCREDI,2011-08,"101,386",334.980,"91,498","93,160"
9525869,256603000,AIN SNAN,2012-01,"145,274",366.000,"141,077","97,565"
9436379,256687000,CMA CGM SAMSON,2011-12,"101,383",334.910,"91,498","93,160"
9258478,256699000,ADAFERA,2004-01,"105,215",237.740,"56,227","16,315"
9722613,256757000,HELLAS AVATAR,2015-09,"49,997",183.300,"29,410","9,762"
9214123,256808000,OREGON,2002-01,"74,204",225.000,"38,727","13,561"
9618317,256871000,MSC ATHOS,2013-04,"110,772",299.950,"95,390","64,486"
9458494,256886000,ACHILLEAS,2010-06,"157,883",274.000,"81,278","26,675"
9305594,256930000,COSCO YANTIAN,2006-04,"107,498",350.560,"109,149","101,644"
9308508,256937000,COSCO BEIJING,2006-06,"107,503",350.550,"109,149","101,644"
9305582,256938000,COSCO NINGBO,2006-03,"107,492",350.560,"109,149","101,644"
9305570,256940000,COSCO GUANGZHOU,2006-02,"107,526",350.560,"109,149","101,644"
9155767,257142000,CHAMPION TERN,1999-05,"47,363",182.430,"27,526","11,298"
9396127,257310000,STAR KIRKENES,2009-06,"49,924",208.780,"37,158","16,179"
9254642,257328000,STAR JUVENTAS,2004-05,"44,837",198.000,"32,679","14,303"
9254654,257329000,STAR JAPAN,2004-06,"44,837",198.000,"32,844","14,302"
9182954,257424000,STAR ISTIND,1999-09,"46,428",198.000,"32,628","14,302"
9396141,257457000,STAR KINN,2010-02,"49,924",208.780,"37,158","16,179"
9182966,257532000,STAR ISMENE,2000-01,"46,428",198.000,"32,628","14,300"
9182978,257615000,STAR ISFJORD,2000-05,"46,428",198.000,"32,628","15,020"
9396153,257661000,STAR KVARVEN,2010-04,"49,924",208.780,"37,158","16,179"
9738208,257771000,STAR ARTEMIS,2015-05,"63,205",199.971,"35,873","11,285"
9185499,257833000,SUSANNE VICTORY,2000-03,"48,309",182.000,"27,185","11,101"
9593854,257842000,STAR LAGUNA,2012-09,"50,827",204.369,"37,447","14,656"
9593866,257844000,STAR LIMA,2012-09,"50,761",204.346,"37,447","14,656"
9310848,258003000,MARITINA,2006-03,"74,993",228.456,"40,803","16,642"
9616840,258005000,STAR LYSEFJORD,2014-04,"50,728",204.332,"37,447","14,656"
9603805,258007000,STAR LUSTER,2013-10,"50,740",204.360,"37,447","14,656"
9603790,258008000,STAR LOEN,2013-09,"50,792",204.380,"37,447","14,656"
9593892,258011000,STAR LOFOTEN,2013-05,"50,728",204.364,"37,447","14,656"
9290608,258028000,CHAMPION EBONY,2004-12,"46,938",182.427,"27,547","11,298"
9127667,258444000,CHAMPION TRADER,1997-06,"40,727",188.730,"21,897","11,930"
9258612,258749000,THELMA VICTORY,2004-03,"47,171",182.500,"27,357","12,889"
9071557,258954000,STAR HERDLA,1994-10,"46,580",198.000,"32,744","14,302"
9283784,259266000,LEONORA VICTORY,2005-03,"46,889",183.200,"29,242","12,870"
9203291,259291000,ASIAN KING,1998-12,"21,511",199.980,"55,729","19,461"
9382396,259739000,HOEGH OSLO,2008-04,"17,252",179.900,"51,964","21,509"
9232931,259833000,SKS SINNI,2003-02,"159,385",274.200,"81,270","25,320"
9103130,259885000,STAR HARMONIA,1998-01,"46,604",198.000,"32,749","14,302"
9377523,259895000,TIRRANNA,2009-06,"29,936",231.600,"71,673","24,582"
9430519,259976000,NOCC ATLANTIC,2009-04,"22,500",199.990,"60,868","21,509"
9582427,262006000,DVADESETPRVI MAJ,2012-08,"34,987",179.900,"22,456","8,810"
9189251,265491000,MIGNON,1999-10,"28,126",227.950,"67,264","20,000"
9240160,265884000,UNDINE,2003-01,"28,388",227.900,"67,378","22,240"
9332949,266259000,FEDORA,2008-02,"30,386",227.800,"71,583","21,509"
9332925,266260000,FAUST,2007-05,"30,200",227.800,"71,583","21,509"
9332937,266261000,FIDELIO,2007-09,"30,137",227.800,"71,583","21,509"
9377494,266282000,ANIARA,2008-07,"30,089",231.600,"71,673","24,582"
9505041,266338000,FIGARO,2011-09,"31,143",230.840,"74,258","25,887"
9520950,269038000,VINDONISSA,2012-02,"58,110",189.990,"32,315","11,421"
9614701,269075000,TRUDY,2013-08,"17,577",161.370,"14,941","13,542"
7819498,303200000,TAURUS,1978-00,0,22.860,116,"1,201"
9316139,303210000,PATRIOT,2006-05,"22,564",199.000,"60,979","21,509"
7723821,303273000,BOLD HORIZON,1978-09,0,51.850,797,"1,700"
7523661,303278000,EL JAGUAR,1976-09,0,42.680,563,"3,900"
8218938,303350200,LAUREN FOSS,2003-03,0,45.720,817,"7,200"
9347413,303422000,SEA VENTURE,2005-09,"5,644",106.070,"9,926","11,746"
9259147,303865000,ASPEN,2001-10,350,68.410,"1,930","6,200"
6711003,303935000,RAINIER,1968-04,528,70.410,"1,591","2,460"
9427079,305048000,BBC GREENLAND,2007-04,"7,536",119.810,"7,002","8,565"
9303314,305121000,SJARD,2007-09,"17,305",143.170,"12,936","9,618"
9438585,305375000,ONEGO NEVA,2008-12,"11,121",145.630,"7,878","5,873"
9508421,305757000,BBC KIBO,2011-09,"9,339",125.780,"8,255","9,517"
9504748,305854000,BBC CITRINE,2012-08,"14,387",153.470,"12,838","8,810"
9183855,308007000,EUROPA,1999-09,"2,557",198.600,"28,890","29,366"
9321249,308015000,MOL CHARISMA,2007-09,"90,390",316.000,"86,692","85,546"
9357315,308369000,GOLIATH LEADER,2008-01,"20,958",199.910,"57,692","21,127"
8913162,308445000,AMADEA,1991-10,"3,938",192.820,"29,008","25,182"
9311854,308599000,TALIA,2006-08,"21,021",199.900,"57,692","21,127"
9138094,308717000,SHEILA ANN,1999-10,"70,037",224.900,"41,428","14,662"
9361809,308808000,LAPIS ARROW,2006-08,"12,105",176.000,"41,000","17,185"
9298662,309038000,GULF STREAM,2005-09,"74,999",228.190,"42,443","18,408"
9321237,309046000,MOL CREATION,2007-06,"90,678",316.000,"86,692","85,546"
9357298,309108000,GLORIOUS LEADER,2007-05,"20,999",199.900,"57,692","21,127"
9066667,309168000,CRYSTAL SYMPHONY,1995-04,"4,500",238.010,"51,044","49,392"
